Skor M2 (Skills),Skor M5 (Compass),Skor M8 (Ambisi),Skor M9 (Resiliensi),Semester,IPK,Ekspektasi Gaji,Minat Wirausaha,Rencana S2/Sertifikasi,Frekuensi Belajar,Level Bahasa Inggris,Motivasi,Cognitive Style,Work Style,Kultur Kerja,Ukuran Perusahaan,PCA1,PCA2,Cluster
12,10,9,9,5,4,4,4,4,3,3,growth,creative,big,agile,big,4.744023731964562,1.2462815660634219,1
7,9,6,5,1,2,2,2,2,2,1,prestige,social,small,agile,big,-1.8036210670573196,-1.9627883901376815,0
9,10,7,9,3,4,2,5,3,2,2,growth,analytical,flex,result,startup,2.071264275613094,-0.48009798301748746,1
11,9,5,6,3,4,2,3,2,3,4,impact,analytical,flex,collab,flex,0.8120412378739328,2.697259273097254,2
10,9,5,10,3,2,2,1,2,4,2,money,analytical,solo,formal,flex,0.7005591778171905,1.0686835210614245,1
12,9,5,6,3,4,2,5,1,2,2,growth,social,small,formal,startup,-0.12757082382114582,0.5152577469910498,2
6,8,6,5,3,4,2,4,2,3,1,money,social,small,collab,mid,-1.1749869565906972,-0.7365774739005121,0
11,9,5,5,3,3,2,3,3,1,3,impact,strategic,small,formal,flex,-0.458622538017856,1.3618585700565375,2
10,10,7,9,3,4,2,5,2,3,1,growth,analytical,flex,formal,flex,1.8737644944866918,-0.8362344898859838,1
5,8,5,5,3,4,2,3,2,2,1,money,social,small,collab,mid,-2.4145704822253413,-0.43609372592718904,0
10,8,6,8,3,4,2,5,2,3,2,money,strategic,small,formal,flex,0.9441019820977541,0.4139249026648368,2
9,8,6,7,5,4,3,1,3,2,4,money,analytical,small,collab,flex,0.3302486012743902,3.71881017168254,2
6,8,5,5,5,4,2,3,1,1,2,money,social,solo,collab,flex,-2.7709952072966826,1.4054923268545008,0
9,8,8,9,3,4,3,5,3,3,4,money,social,small,collab,startup,3.027646744869081,0.9631846659688047,1
9,8,5,7,3,3,1,4,1,2,2,freedom,analytical,solo,collab,startup,-1.207130525330382,0.30643969238143937,0
9,9,6,7,3,4,2,5,2,2,2,impact,strategic,small,collab,mid,0.3809029226838008,-0.16420600693911408,2
10,9,8,5,3,4,2,4,3,1,2,money,strategic,solo,collab,flex,0.2862121346590812,0.1620523744936007,2
8,9,6,7,3,4,2,4,2,2,2,growth,analytical,solo,collab,big,-0.009914659563202935,-0.0044222882567227645,2
9,8,5,6,3,4,3,4,2,2,2,impact,analytical,flex,collab,big,-0.33945770277854254,0.27384344778268194,2
8,9,7,7,3,4,2,4,3,2,2,growth,analytical,solo,formal,big,0.7041926802285277,-0.16400573946821612,2
9,9,6,7,4,2,1,4,3,2,2,prestige,social,small,collab,flex,0.13256476469319345,0.03958431028321797,2
9,8,7,7,3,4,3,2,3,2,2,money,analytical,solo,collab,flex,0.2340645467398681,0.8557110700975304,2
8,8,7,6,3,4,3,4,2,2,2,prestige,analytical,small,formal,flex,-0.09491406308162303,-0.14079481097527888,2
6,7,6,5,3,4,3,3,2,2,1,money,social,small,formal,flex,-1.9772476573853417,-0.42829517185801685,0
5,8,5,5,3,4,2,4,2,2,1,money,social,solo,collab,startup,-2.092913400828479,-0.8120444618799983,0
2,6,5,5,5,3,1,2,2,2,1,money,creative,solo,formal,flex,-4.057328309904664,0.5087102940167797,0
8,9,7,6,3,4,3,4,2,2,2,impact,analytical,solo,collab,flex,0.23290107789600373,-0.30235363971899115,2
9,7,8,9,3,4,3,3,3,3,1,impact,analytical,flex,formal,big,1.3630086161981525,-0.3404429093751787,1
11,9,4,5,3,3,1,3,2,2,2,money,analytical,small,formal,flex,-1.3645239134967995,1.1965494352102417,0
10,9,6,7,3,4,2,4,3,3,3,impact,analytical,small,collab,flex,1.5052676934813682,1.2038197103606478,1
8,9,5,5,3,4,2,3,2,2,1,growth,analytical,flex,formal,mid,-1.4553777583382936,-0.10465579661425109,0
9,8,5,6,3,4,1,3,3,2,2,impact,social,flex,collab,flex,-0.8193211188155674,1.2360926331482482,2
8,7,5,7,3,4,1,4,1,2,1,prestige,analytical,small,collab,mid,-1.9796922023150583,0.019207486752301516,0
6,8,6,6,3,3,3,3,2,2,3,impact,creative,flex,collab,flex,-0.645331148100885,0.3352448825939861,0
8,8,6,7,3,2,2,4,2,3,1,impact,social,flex,collab,big,-0.21103311581641154,-1.3947771811592478,2
10,10,4,6,3,4,2,3,1,1,2,money,analytical,small,formal,big,-1.539702904647637,0.9465986590125791,0
9,10,9,7,3,4,2,4,3,3,2,impact,analytical,flex,collab,flex,2.276517222085336,-0.28213952664901143,1
14,9,7,7,5,3,2,4,3,2,4,prestige,social,small,result,flex,2.347030865163471,2.871168091239659,1
8,7,6,5,3,4,4,4,2,1,2,money,analytical,solo,formal,big,-1.0993436047677387,-0.1433479020587683,0
8,9,3,4,3,3,2,3,1,2,2,money,social,big,formal,flex,-2.61113228430816,0.6145479876826804,0
7,8,6,7,3,3,3,3,2,2,2,growth,analytical,big,collab,big,-0.4774585611557584,-0.3978517591359357,2
10,10,8,9,3,3,3,4,3,3,2,growth,analytical,flex,formal,flex,2.8818695331901982,-0.6280079206981335,1
9,9,5,6,4,4,2,3,3,2,1,growth,social,small,collab,mid,-0.652541656416773,0.46232796206268306,2
7,8,5,5,3,4,2,4,2,1,2,growth,strategic,small,collab,flex,-1.8438350803391086,0.17324721541085145,0
12,8,7,7,3,4,5,4,2,3,3,money,strategic,solo,collab,big,2.295999756741128,0.8699439985525269,1
7,8,5,5,3,4,2,4,2,2,2,money,analytical,solo,result,flex,-1.3811702344641583,0.3424037168913144,0
9,9,6,8,3,4,3,4,2,2,1,impact,strategic,flex,formal,flex,0.35440408101870924,-0.5979929317023694,2
9,8,5,6,3,4,1,2,2,2,2,money,strategic,solo,formal,big,-1.589798529925011,1.6175421024697876,0
11,9,8,6,3,4,3,4,3,3,2,growth,strategic,small,formal,big,2.004741194530616,0.026546455617473368,1
9,8,6,6,3,4,2,5,2,2,1,money,analytical,flex,formal,flex,-0.47372647031244836,-0.5270162445468334,2
6,7,5,5,3,4,2,4,1,2,1,money,social,small,collab,big,-2.6203128788540795,-0.5113668239590456,0
13,9,8,8,3,4,4,5,2,3,3,growth,creative,flex,collab,startup,3.4185989895239315,0.5269234281280053,1
6,8,5,7,3,3,2,3,3,2,1,growth,analytical,solo,formal,flex,-1.2540799181984918,-0.7372572550754329,0
8,8,7,9,3,4,2,3,2,4,2,money,analytical,small,formal,mid,1.072911497555142,0.6165470617127704,1
8,8,7,8,3,4,4,5,2,2,1,growth,strategic,big,collab,flex,0.7708506424280139,-1.4930290124796488,2
9,9,5,7,5,1,2,4,1,2,2,impact,analytical,flex,formal,flex,-0.6978951630296479,0.011917473321437534,2
8,8,4,5,3,4,2,2,2,2,1,money,analytical,small,formal,big,-2.4117828812262117,0.6016426974564807,0
8,9,8,7,3,4,2,5,2,3,2,growth,social,small,formal,flex,1.2146439317026365,-0.5285144123266744,2
8,8,7,5,3,4,3,5,2,1,2,impact,social,flex,collab,flex,-0.4592905310965066,-0.558110288738525,2
9,8,6,7,3,4,2,5,2,3,3,growth,social,small,collab,big,0.9244993151020342,0.7173752766442671,2
8,10,7,9,3,3,1,5,2,3,2,growth,strategic,flex,collab,mid,1.5659508220430172,-0.761957935916736,1
9,8,6,7,3,4,5,3,2,2,2,money,analytical,flex,formal,big,0.4177399784531228,0.12283640369343238,2
8,8,5,5,3,4,3,3,2,2,2,growth,social,flex,formal,flex,-1.1817337436677025,0.608992885802591,0
10,8,6,8,3,4,3,3,2,2,2,money,social,big,collab,mid,0.24045154912408834,0.7422279485304266,2
8,8,5,5,3,3,2,3,3,1,1,money,analytical,small,collab,flex,-1.9350538494529952,-0.40081901153465666,0
8,9,5,5,3,4,2,1,2,2,1,money,analytical,solo,formal,flex,-2.1573806283686063,0.7928733542097338,0
9,9,3,5,3,4,1,3,1,2,2,money,analytical,flex,result,flex,-2.2748146583322146,1.5332601899702194,0
6,9,4,5,3,4,2,2,1,1,1,money,strategic,solo,formal,big,-3.390206970971415,0.1022536770418003,0
6,8,6,6,3,3,3,2,2,2,1,money,strategic,small,collab,mid,-1.6925838355690974,-0.7433118649503504,0
9,9,8,6,3,3,2,5,2,2,3,prestige,analytical,small,collab,startup,1.017498312879524,-0.2819256686958312,2
9,9,8,9,3,4,2,5,4,4,2,impact,analytical,flex,result,flex,3.4437029413003337,-0.27755824896774145,1
12,8,8,7,3,4,4,5,3,2,2,prestige,analytical,small,formal,big,2.2374797251379883,-0.3381722318118288,1
9,7,5,6,3,4,2,3,2,2,2,growth,analytical,small,formal,big,-1.2790926250520847,0.9979327552187275,0
8,9,7,5,3,3,3,4,2,1,2,money,social,small,collab,flex,-0.6474255130907807,-0.749731844216948,2
6,9,7,9,3,4,3,5,2,2,2,money,analytical,solo,result,startup,0.9689659642014663,-1.0133957660627178,2
10,7,5,5,3,3,3,2,2,2,1,money,analytical,small,formal,flex,-1.8617454951358006,0.3289862130858397,0
10,8,7,8,3,4,2,5,2,2,1,money,analytical,flex,collab,flex,0.5673555508890613,-0.5336060065221973,2
8,8,6,7,3,4,2,4,2,2,1,growth,analytical,solo,formal,startup,-0.6662996588348886,-0.547994528205419,2
7,9,7,7,3,4,3,3,3,3,2,money,strategic,flex,collab,flex,0.9834991192767901,0.10951553979375608,2
12,9,6,7,3,4,2,4,2,3,2,impact,social,flex,collab,flex,1.1478176620048646,0.9145217372306311,2
10,10,8,7,3,4,2,4,3,2,2,money,analytical,small,formal,big,1.5760743182715022,-0.0494782689983038,2
9,8,7,6,3,4,2,5,3,3,3,impact,creative,small,formal,mid,1.3445382700694481,0.5964221960437599,1
8,9,5,6,3,3,4,3,1,1,2,money,analytical,small,formal,big,-1.3771939506756472,-0.36790538383973287,0
7,7,5,8,3,4,1,5,2,2,2,money,analytical,flex,formal,flex,-0.8210172023714606,0.39491090511612364,2
7,8,6,5,3,4,2,4,2,2,3,money,analytical,flex,collab,startup,-0.6611509631739543,0.8154459831224385,2
10,9,7,7,3,4,2,3,3,2,2,impact,analytical,small,collab,big,0.780439182754133,0.5240182729743915,2
6,8,5,5,3,4,1,4,2,2,2,money,social,small,collab,flex,-1.9045573296853735,0.3915447930848423,0
6,9,5,9,3,4,2,4,1,4,1,growth,analytical,flex,formal,flex,0.027060273158655335,-0.600848220440711,2
10,8,5,7,2,3,2,3,2,2,2,money,creative,small,formal,flex,-0.749060208708771,0.33323017970165375,0
6,8,7,6,3,2,2,5,1,2,1,prestige,social,small,collab,startup,-1.2805052551002656,-2.366218033284687,0
9,10,8,6,3,4,2,5,3,2,2,money,analytical,flex,collab,flex,1.4801871630650658,-0.46505938698816013,2
10,9,7,7,3,4,2,4,3,3,2,growth,analytical,solo,formal,flex,1.477517414944339,0.357744427762498,1
10,9,8,9,3,2,2,3,3,2,2,impact,analytical,solo,formal,flex,1.4467405555975197,-0.42727393272118447,1
10,9,5,8,3,4,1,3,3,2,2,growth,analytical,solo,formal,flex,0.10759857543299754,1.2398610791854368,2
8,7,7,9,3,4,2,2,2,4,2,prestige,social,small,formal,mid,0.5061256477452665,1.0777890106593273,2
10,9,5,9,3,3,1,4,2,3,2,growth,analytical,flex,collab,flex,0.7454692744638349,0.4870960252018291,2
9,8,5,5,4,3,2,2,1,2,2,growth,social,flex,formal,flex,-2.0232561044215283,1.3970080010778128,0
11,10,8,9,3,4,2,4,3,4,3,growth,analytical,flex,collab,flex,3.670189373262615,1.0176372364610262,1
6,7,5,7,3,4,1,3,4,2,2,impact,analytical,flex,formal,flex,-0.9161773448749337,0.8509599417285255,0
12,8,8,7,3,4,3,3,3,2,2,money,social,flex,formal,flex,1.365397112910944,0.8996858524431596,2
8,7,7,7,3,4,3,5,2,2,2,money,creative,flex,collab,big,0.3127299461213698,-0.3447782050803699,2
7,8,3,8,3,3,1,2,2,2,2,growth,analytical,big,agile,big,-1.9233254130919002,0.969253704662515,0
9,9,5,7,3,4,2,2,2,2,2,growth,analytical,small,collab,flex,-0.7765315351731523,1.1714044830901682,2
6,9,7,7,3,3,4,5,2,1,1,money,analytical,small,collab,flex,-0.21098230759619996,-2.441483790012677,2
9,9,7,9,3,4,5,4,2,4,1,money,strategic,big,formal,big,2.4013879091098436,-1.1763133235227892,1
9,9,4,7,1,2,2,3,1,1,2,money,social,solo,agile,mid,-1.8839826965238737,-0.8620678578966892,0
11,8,5,7,3,4,1,3,2,2,2,growth,strategic,small,collab,flex,-0.6806494361204873,1.5573261236429303,2
8,9,8,7,3,4,3,5,2,2,1,growth,analytical,small,formal,flex,0.7212818426688419,-1.5668063142757362,2
7,8,7,7,3,4,3,4,2,2,2,money,social,small,collab,flex,-0.048811302470152876,-0.23980835158786024,2
7,8,5,5,4,4,2,3,2,2,2,growth,analytical,solo,collab,flex,-1.616068631774046,1.065070813207495,0
4,9,7,5,3,2,2,1,2,3,2,impact,strategic,small,formal,big,-1.4818386243567452,-0.5841639795011965,0
9,9,8,8,4,3,2,5,2,2,1,money,analytical,flex,formal,mid,0.9227536742299125,-1.0881741098238233,2
6,8,4,5,3,4,1,2,2,1,1,growth,social,small,collab,mid,-3.5192635886756216,0.352140748093228,0
7,8,5,6,3,4,2,3,2,2,2,money,social,big,formal,flex,-1.4386953538169336,0.7121896163766502,0
8,8,7,7,3,3,2,5,2,2,2,impact,social,small,formal,big,0.16118772804168796,-0.8525282822418921,2
8,9,8,7,3,4,3,3,3,3,2,impact,social,small,collab,flex,1.3749083374867679,-0.041494080002228075,1
13,8,8,9,2,4,2,4,3,3,3,growth,strategic,small,formal,mid,2.873155699395257,1.0582561699777329,1
9,9,8,7,3,4,2,5,3,2,1,impact,social,flex,collab,flex,1.1415395835779538,-1.1137715370472605,2
8,8,6,3,3,3,2,4,2,1,1,impact,social,big,formal,mid,-2.267928742901182,-1.0831522196894856,0
7,9,8,7,3,4,3,3,2,3,1,money,analytical,small,formal,big,0.4570716115188682,-0.9275944802008887,2
9,9,5,6,3,4,2,2,3,2,1,money,analytical,small,result,flex,-0.9583874356128146,0.5494942822478502,0
8,8,5,9,3,4,2,4,2,3,1,growth,analytical,solo,collab,flex,0.0287827831853969,-0.2320319657476317,2
6,8,6,8,3,4,3,3,2,3,1,impact,analytical,flex,collab,mid,-0.22620138215039776,-0.6544087029902971,2
9,10,8,9,3,4,4,5,1,4,2,freedom,strategic,flex,result,flex,2.934968849767905,-0.8072764720768943,1
9,8,7,8,3,4,3,5,2,2,1,growth,social,small,collab,big,0.6329478290496782,-1.1859044788208137,2
8,8,4,6,3,4,1,3,2,2,1,freedom,social,flex,collab,flex,-2.074985989195045,0.5522606740261603,0
8,7,7,8,3,4,2,4,3,2,2,money,analytical,solo,collab,mid,0.3551271075792188,0.2412490232683456,2
12,8,6,8,4,2,2,4,1,2,2,prestige,analytical,flex,formal,mid,0.1625623967681568,0.4745891205121096,2
